473,4,4,0,"WIF7","GBL","pnum","TI119",,0,4.00000,,"FWPF",,"20180315","20180706",0.01360,"Gruppen 1/2",,"ZH013","14",0,16777215,"aBfn",,,,,,,,,,0,0,,,,,400000,4.00000,,,,,,#n,#n
16,4,4,4,"I3","GBL","pnum","TI119",,37,4.00000,,,,"20180315","20180706",0.00680,"Gruppen 3/4",,"ZH013","14",0,16777215,"aBfn",,,,,,,,,"3",0,0,,,,,400000,4.00000,,,,,,#n,#n
22,4,4,4,"WIF4","UHR","iti","HS013",,80,4.00000,,,,"20180315","20180706",0.00680,,,"HS013",,,,"aBn",,,,2,2,,,,,0,0,,,,,400000,4.00000,,,,,,#n,#n
599,4,4,4,"I4","SBT","palgo","IF016",,50,2.00000,"1",,,"20180315","20180706",0.00340,"Gruppe I1",,"ZH018","14",0,16777215,"aBfn",,,,,,4,,,"3",0,0,,0,0,,200000,2.00000,,,,,,#n,#n
19,4,4,4,"I4","FRA","palgo","IF016",,50,2.00000,"2",,,"20180315","20180706",0.00340,"Gruppe I2",,"ZH018","14",0,16777215,"aBfn",,,,,,4,,,"3",0,0,,0,0,,200000,2.00000,,,,,,#n,#n
93,4,4,4,"I4","MCK","rea","HS013",,68,4.00000,,,,"20180315","20180706",0.01360,,,"ZH018",,0,16777215,"aBfn",,,,2,2,,,,,0,0,,,,,400000,4.00000,,,,,,#n,#n
93,4,4,0,"AIF4","MCK","reaa","HS013",,0,4.00000,,,,"20180315","20180706",0.01360,,,"ZH018",,0,16777215,"aBfn",,,,2,2,,,,,0,0,,,,,400000,4.00000,,,,,,#n,#n
534,4,4,4,"I4","MCK","prea","IF018",,50,4.00000,,,,"20180315","20180706",0.00680,"Gruppen 1/2",,"ZH018",,,,"aBn",,,,,,4,,,,0,0,,0,0,,400000,4.00000,,,,,,#n,#n
114,4,4,4,"I4","FRA","prea","IF018",,50,2.00000,"2",,,"20180315","20180706",0.00340,"Gruppe 3 (gKW)",,"ZH018","14",0,16777215,"aBfn",,,,,,4,,,,0,0,,0,0,,200000,2.00000,,,,,,#n,#n
25,2,2,2,"I4","MSR","bsys","ZH018",,50,2.00000,,,,"20180315","20180706",0.00340,,,"ZH018",,0,16777215,"aBfn",,,,1,1,,,,"3",0,0,,,,,200000,2.00000,,,,,,#n,#n
26,4,4,4,"I4","LET","pbsys","IF010",,50,4.00000,,,,"20180315","20180706",0.00680,"Gruppen I1/I2",,"ZH018","14",0,16777215,"aBfn",,,,,,4,,,"3",0,0,,0,0,,400000,4.00000,,,,,,#n,#n
27,4,4,4,"I4","LET","pbsys","IF010",,50,2.00000,"2",,,"20180315","20180706",0.00340,"Gruppe I3 (gKW)",,"ZH018","14",0,16777215,"aBfn",,,,,,4,,,"3",0,0,,0,0,,200000,2.00000,,,,,,#n,#n
28,2,2,2,"I4","JGN","dkom","HS013",,50,2.00000,,,,"20180315","20180706",0.00340,,,"ZH018",,0,16777215,"aBfn",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,,,,#n,#n
455,4,4,4,"I4","JGN","pdkom","IF008",,50,2.00000,"1",,,"20180315","20180706",0.00340,"Gruppe I3",,"ZH018","14",0,16777215,"aBfn",,,,,,4,,,"3",0,0,,0,0,,200000,2.00000,,,,,,#n,#n
29,4,4,4,"I4","LET","pdkom","IF008",,50,4.00000,,,,"20180315","20180706",0.00680,"Gruppen I1/I2",,"ZH018","14",0,16777215,"aBfn",,,,,,4,,,"3",0,0,,0,0,,400000,4.00000,,,,,,#n,#n
612,2,2,2,"I4","HMN","stat","HS013",,130,2.00000,,,,"20180315","20180706",0.00680,,,"ZH018",,0,16777215,"Bfn",,,,1,1,,,,"3",0,0,,,,,200000,2.00000,,,,,,#n,#n
612,2,2,0,"WIF4","HMN","statw","HS013",,0,2.00000,,,,"20180315","20180706",0.00680,,,"ZH018",,0,16777215,"Bfn",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,,,,#n,#n
1,2,2,2,"I4","HMN","stat","HS013",,130,1.00000,"2",,,"20180315","20180706",0.00340,"gKW",,"ZH018","14",0,16777215,"aBfn",,,,1,1,,,,"3",0,0,,,,,100000,1.00000,,,,,,#n,#n
1,2,2,0,"WIF4","HMN","statw","HS013",,0,1.00000,"2",,,"20180315","20180706",0.00340,"gKW",,"ZH018","14",0,16777215,"aBfn",,,,1,1,,,,,0,0,,,,,100000,1.00000,,,,,,#n,#n
525,4,4,4,"AIF4","FRA","prea","IF018",,0,2.00000,"1",,,"20180315","20180706",0.00340,"uKW",,"ZH018",,0,16777215,"aBfn",,,,,,4,,,,0,0,,0,0,,200000,2.00000,,,,,,#n,#n
18,2,2,2,"I4","SBT","algo","HS013",,148,2.00000,,,,"20180315","20180706",0.01020,,,"ZH018",,0,16777215,"aBfn",,,,1,1,,,,"3",0,0,,,,,200000,2.00000,,,,,,#n,#n
18,2,2,0,"AIF4","SBT","algoa","HS013",,0,2.00000,,,,"20180315","20180706",0.01020,,,"ZH018",,0,16777215,"aBfn",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,,,,#n,#n
18,2,2,0,"WIF4","SBT","algow","HS013",,0,2.00000,,,,"20180315","20180706",0.01020,,,"ZH018",,0,16777215,"aBfn",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,,,,#n,#n
632,4,4,4,"WIF4","FRA","palgo","IF016",,80,2.00000,"1",,,"20180315","20180706",0.00340,"Gruppe W3",,"HS013","14",0,16777215,"aBfn",,,,,,4,,,"3",0,0,,0,0,,200000,2.00000,,,,,,#n,#n
20,4,4,4,"WIF4","FRA","palgo","IF016",,80,4.00000,,,,"20180315","20180706",0.00680,"Gruppen W1/W2",,"HS013","14",0,16777215,"aBfn",,,,,,4,,,"3",0,0,,0,0,,400000,4.00000,,,,,,#n,#n
23,2,2,2,"AIF4","NAZ","mbe2","ZH003",,18,2.00000,,,,"20180315","20180706",0.00340,,,"ZH003",,,,"aBn",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,,,,#n,#n
24,4,4,4,"AIF4","NAZ","pmbe","TI125",,18,2.00000,"1",,,"20180315","20180706",0.00340,"uKW",,"ZH003",,,,"aBn",,,,,,4,,,,0,0,,0,0,,200000,2.00000,,,,,,#n,#n
32,4,4,4,"AIF2","koller","mat2a","A0.02",,25,4.00000,,,,"20180315","20180706",0.00680,,,"HS013",,,,"aBn",,,,2,2,,,,,0,0,,,,,400000,4.00000,,,,,,#n,#n
33,2,2,2,"AIF2","koller","ümat","HS007",,25,2.00000,,,,"20180315","20180706",0.00340,"Gruppe M3",,"HS013",,,,"aBn",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,,,,#n,#n
72,2,2,2,"I2","KHA","swe1","SC001",,130,2.00000,,,,"20180315","20180706",0.01020,,,"ZH013",,0,16777215,"aBfn",,,,1,1,,,,,130,0,,,,,200000,2.00000,,,,,,#n,#n
